cycle,slot,arm,sha,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,http_reqs,load1,ts
1,0,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.719154,1.559439,2.1513221999999983,4.752759239999999,36.16331,32743,11.80,2026-09-22T02:43:53+02:00
1,1,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.6734184999999999,1.3407051,1.8450042499999995,3.760066919999999,46.962019,32755,11.80,2026-09-22T02:44:54+02:00
1,2,P2,bd1adbb42fa983a8f93038189707a77e65f83547,VOID,VOID,VOID,VOID,VOID,0,11.80,2026-09-22T02:45:55+02:00
1,3,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.7860985,1.4175890000000002,1.9730305499999994,4.241352209999997,49.242187,32691,11.80,2026-09-22T02:46:56+02:00
1,4,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.856851,1.8662790000000002,3.0665805999999995,13.278911279999996,38.360004,32615,11.80,2026-09-22T02:47:58+02:00
1,5,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.8287045,1.6885770000000002,2.35422525,4.8545956,53.501388,32747,11.80,2026-09-22T02:48:59+02:00
1,6,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.711377,1.183825,1.469641,2.5635348,7.210294,32847,11.80,2026-09-22T02:50:00+02:00
2,0,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.7250085,1.1350125,1.357346799999999,2.3924732,9.761835,32835,7.59,2026-09-22T02:51:01+02:00
2,1,P2,bd1adbb42fa983a8f93038189707a77e65f83547,VOID,VOID,VOID,VOID,VOID,0,7.59,2026-09-22T02:52:02+02:00
2,2,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.705169,1.31709,1.6086900999999996,3.2808574799999985,19.691357,32815,7.59,2026-09-22T02:53:03+02:00
2,3,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.792713,1.3302606000000003,1.7548029999999994,3.4142834399999966,28.094526,32835,7.59,2026-09-22T02:54:04+02:00
2,4,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.7703614999999999,1.6690558000000009,2.559189599999999,5.683793509999999,21.155334,32811,7.59,2026-09-22T02:55:05+02:00
2,5,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.7816655,1.9154789000000003,3.2946051999999924,20.670704799999992,52.965158,32475,7.59,2026-09-22T02:56:06+02:00
2,6,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.771378,1.5368798000000001,2.2187224999999997,6.155126559999994,60.252666,32575,7.59,2026-09-22T02:57:07+02:00
3,0,P2,bd1adbb42fa983a8f93038189707a77e65f83547,VOID,VOID,VOID,VOID,VOID,0,14.58,2026-09-22T02:58:09+02:00
3,1,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.760346,1.3906222,1.8483991999999987,4.028094119999997,25.736968,32795,14.58,2026-09-22T02:59:09+02:00
3,2,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.789842,1.3455294000000002,1.7341559999999996,3.7297165199999975,41.359295,32831,14.58,2026-09-22T03:00:10+02:00
3,3,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.79365,1.376676,1.8060119999999997,4.083627599999998,26.741343,32847,14.58,2026-09-22T03:01:12+02:00
3,4,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.857666,1.524636,2.035472199999999,3.3402139299999987,12.334654,32731,14.58,2026-09-22T03:02:13+02:00
3,5,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.857378,1.54298,2.0536849999999998,4.004190799999999,24.224236,32687,14.58,2026-09-22T03:03:15+02:00
3,6,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.971266,2.130773,2.9023914999999985,5.924971499999994,61.666093,32527,14.58,2026-09-22T03:04:16+02:00
4,0,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,1.073299,2.2716956,3.1217711999999995,5.496075439999998,18.462271,32551,12.84,2026-09-22T03:05:17+02:00
4,1,P4,9e5a56518887edb6a42f968422b83b71308b1061,1.094306,2.1625464000000005,2.7573480999999993,4.877598599999996,34.51841,32623,12.84,2026-09-22T03:06:19+02:00
4,2,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,1.225508,2.9789738000000003,4.332783199999997,19.403109279999978,96.734322,32311,12.84,2026-09-22T03:07:20+02:00
4,3,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,1.042899,2.7085424000000002,4.326162399999996,15.377131279999997,72.155476,32279,12.84,2026-09-22T03:08:22+02:00
4,4,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.946643,1.8518898000000001,2.561584599999998,4.969602039999997,57.029532,32583,12.84,2026-09-22T03:09:23+02:00
4,5,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.9525385,1.8509895000000003,2.431790249999999,4.776755399999992,52.098,32587,12.84,2026-09-22T03:10:24+02:00
4,6,P2,bd1adbb42fa983a8f93038189707a77e65f83547,VOID,VOID,VOID,VOID,VOID,0,12.84,2026-09-22T03:11:26+02:00
5,0,P4,9e5a56518887edb6a42f968422b83b71308b1061,1.111395,2.0659388000000005,2.744615999999999,4.6597826,38.785549,32663,10.83,2026-09-22T03:12:26+02:00
5,1,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.9927705,1.5453848000000001,1.8890545999999993,3.2185785999999994,11.389136,32771,10.83,2026-09-22T03:13:28+02:00
