cycle,slot,arm,sha,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,http_reqs,load1,ts
1,0,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.7886305,1.8543913,2.738762949999999,7.13677541,54.266446,32595,21.57,2026-09-22T03:22:18+02:00
1,1,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.761466,1.2939350000000003,1.6243574499999993,3.0960987199999996,25.830216,32795,21.57,2026-09-22T03:23:19+02:00
1,2,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.805779,1.2870112,1.54567715,2.3841557199999994,8.509642,32819,21.57,2026-09-22T03:24:20+02:00
1,3,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.7074605,1.1212539,1.3650881999999993,2.515741039999996,20.060337,32851,21.57,2026-09-22T03:25:21+02:00
1,4,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.7908125,1.3377363000000002,1.732603999999999,3.892381749999998,18.614203,32843,21.57,2026-09-22T03:26:22+02:00
1,5,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.784357,1.3222077,1.6336983499999997,2.9960171199999994,20.196545,32851,21.57,2026-09-22T03:27:22+02:00
2,0,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.70363,1.258812,1.682203,3.041733,10.519098,32807,10.40,2026-09-22T03:28:23+02:00
2,1,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.7816455,1.3583496000000002,1.6794157999999986,3.392665079999999,11.779792,32803,10.40,2026-09-22T03:29:25+02:00
2,2,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.695262,1.3799202000000002,1.9458419999999987,4.500917919999999,34.019823,32775,10.40,2026-09-22T03:30:26+02:00
2,3,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.814862,1.3364420000000001,1.621558599999999,2.8708759999999995,10.949309,32839,10.40,2026-09-22T03:31:27+02:00
2,4,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.843295,1.4264134000000002,1.8986433999999994,3.3893345199999994,10.312386,32823,10.40,2026-09-22T03:32:28+02:00
2,5,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.731935,1.2124214000000002,1.5093284999999994,2.963375219999998,31.709137,32815,10.40,2026-09-22T03:33:29+02:00
3,0,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.781439,1.2915542,1.6042006,2.51992984,10.862249,32815,10.53,2026-09-22T03:34:29+02:00
3,1,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.6898154999999999,1.1374198,1.4006847999999998,2.348843959999999,11.52097,32819,10.53,2026-09-22T03:35:30+02:00
3,2,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.804432,1.5196730000000005,2.0475832999999986,3.740131799999999,12.844861,32831,10.53,2026-09-22T03:36:31+02:00
3,3,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.798528,1.4597920000000002,1.8881999999999999,3.56327905,31.238269,32827,10.53,2026-09-22T03:37:32+02:00
3,4,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.720992,1.2667202000000002,1.6148832999999998,3.087676519999999,9.427202,32815,10.53,2026-09-22T03:38:33+02:00
3,5,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.730336,1.3285092,1.7900057999999996,4.399671119999998,27.235643,32751,10.53,2026-09-22T03:39:35+02:00
4,0,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.719536,1.543569,2.649899499999998,14.888157439999997,74.736819,32399,9.22,2026-09-22T03:40:35+02:00
4,1,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.8719844999999999,1.361289,1.5718209999999997,2.42403145,19.666235,32827,9.22,2026-09-22T03:41:36+02:00
4,2,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.801281,1.222993,1.4468089999999991,2.3511931,5.106436,32847,9.22,2026-09-22T03:42:37+02:00
4,3,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.7277445,1.2022221000000002,1.4898577999999998,2.5830061599999983,10.611337,32835,9.22,2026-09-22T03:43:39+02:00
4,4,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.676641,1.2139818,1.5788509,3.060595319999999,9.906585,32831,9.22,2026-09-22T03:44:40+02:00
4,5,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.751537,1.3148787000000002,1.6507683999999998,3.04858012,16.419073,32803,9.22,2026-09-22T03:45:41+02:00
5,0,P4,9e5a56518887edb6a42f968422b83b71308b1061,0.839345,1.2475274,1.4364781999999998,2.1274253599999997,7.369833,32855,8.62,2026-09-22T03:46:42+02:00
5,1,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.7790410000000001,1.3024884000000003,1.5787491999999996,3.3770783999999985,9.690619,32875,8.62,2026-09-22T03:47:43+02:00
5,2,A,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.723017,1.2109549,1.4955667499999996,2.6481338899999955,5.819767,32819,8.62,2026-09-22T03:48:44+02:00
5,3,B,e138680a542b41fa156a94a1ffc9decd9692be77,0.735009,1.2308268,1.5023651999999996,2.5507501999999995,30.999031,32799,8.62,2026-09-22T03:49:45+02:00
5,4,P3,c8803f066d946de3fa83b8ad0d22499beb474c75,0.825009,1.3724740000000002,1.6942948,2.6696785299999997,6.706537,32795,8.62,2026-09-22T03:50:46+02:00
5,5,Aprime,32f135a61fb50c20a044fb4c2347bc1cf8015d89,0.719585,1.1426764,1.3780365999999986,2.26758572,10.323342,32855,8.62,2026-09-22T03:51:47+02:00
6,0,REL,35d948142425223fdcd2ce769fd620ecfb4c5220,0.729329,1.211314,1.5055059999999982,3.245594759999999,13.789011,32871,7.12,2026-09-22T03:52:48+02:00
